rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0,rank_alpha_gain,rank_beta_val
69,387,220,366,138,420
492,355,109,367,89,382
23,337,382,15,242,295
422,173,252,255,291,47
59,91,155,96,497,479
47,244,429,38,334,61
44,50,108,407,439,288
42,215,62,254,393,83
208,356,361,104,116,163
157,337,63,95,453,141
64,96,208,382,169,205
153,178,73,263,431,486
464,474,354,270,118,193
412,341,188,146,196,53
38,256,377,362,300,464
253,269,88,344,139,242
245,131,43,434,189,347
380,60,314,319,395,69
472,452,258,384,14,355
0,209,24,309,180,39
208,395,335,247,55,101
425,291,324,273,198,4
439,259,30,240,43,486
61,354,154,24,418,409
327,304,480,305,103,486
138,160,135,421,179,61
332,360,85,370,184,470
117,220,70,141,338,188
269,162,482,251,242,216
465,459,190,308,18,428
410,269,72,355,13,221
79,101,495,271,18,287
262,118,163,372,466,500
424,29,36,459,311,276
224,408,379,52,187,423
490,44,367,500,88,248
199,44,72,411,491,381
248,64,180,414,347,232
435,20,22,272,471,182
28,281,7,178,359,206
420,487,499,227,21,197
70,368,132,213,96,156
398,203,472,408,310,358
174,198,150,245,224,405
342,364,9,84,191,388
435,167,259,454,199,95
85,291,268,397,10,138
68,4,86,457,186,330
162,434,264,425,61,186
437,89,432,355,115,229
277,441,176,292,0,348
345,366,266,52,119,150
340,89,47,226,269,177
266,85,248,64,392,142
57,378,104,48,400,82
394,325,420,431,84,394
203,358,296,162,190,379
57,192,428,76,462,416
16,324,73,405,159,388
375,84,213,135,494,61
193,438,43,138,81,259
119,304,115,397,61,6
476,138,394,419,375,1
218,26,42,187,497,306
388,422,100,84,300,218
87,11,467,455,370,116
393,277,352,435,33,52
97,354,427,113,165,478
278,254,185,396,114,68
448,358,23,226,189,147
125,292,53,135,408,472
114,253,1,396,73,262
